"Player,Pos,Dist.,3P"
"Justise Winslow\winslju01,SF,12.9,.281"
"Cassius Winston\winstca01,PG,21.9,.667"
"James Wiseman\wisemja01,C,9.2,.108"
"Christian Wood\woodch01,C,11.7,.291"
"Robert Woodard\woodaro01,SF,13.0,.308"
"Delon Wright\wrighde01,SG,10.5,.303"
"Thaddeus Young\youngth01,PF,5.3,.063"
"Trae Young\youngtr01,PG,15.3,.382"
"Cody Zeller\zelleco01,C,5.3,.110"
"Ivica Zubac\zubaciv01,C,3.0,.012"
